	Name	Tags	Type	Source Zone	Source Address	Source User	Source Device	Destination Zone	Destination Address	Destination Device	Application	Service	Action	Profile	Options	Rule Usage Hit Count	Rule Usage Last Hit	Rule Usage First Hit	Rule Usage Apps Seen	Days With No New Apps	Modified	Created	Disbaled
45	NDR NODE TO DC NODE	none	universal	LAN	10.11.240.0/24	any	any	MPLS	10.10.240.0/24	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	0	-	-	-	-	26-11-2025 16:22	26-11-2025 16:22	
46	LAN-MPLS-4	LAN-MPLS	universal	LAN	10.11.150.0/24	any	any	MPLS	10.10.240.0/24;10.10.250.0/24;10.11.240.0/24;172.29.15.0/24;172.29.16.0/24;172.29.17.0/24;192.168.11.0/24;192.168.13.0/24;192.168.20.0/24	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	63516	06-06-2026 12:41	30-04-2025 12:06	4	383	30-04-2025 12:07	29-04-2025 19:31	
47	LAN-MPLS-5	LAN-MPLS	universal	LAN	172.29.100.0/24	any	any	MPLS	10.10.210.0/24;10.10.240.0/24;10.110.110.240/29;192.168.0.0/24	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	5444	23-04-2026 20:38	07-05-2025 11:48	9	199	30-04-2025 12:07	29-04-2025 19:31	
48	LAN-MPLS-6	LAN-MPLS	universal	LAN	192.168.130.151/32	any	any	MPLS	172.29.19.203/32	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	18	06-05-2025 18:02	30-04-2025 12:06	1	396	30-04-2025 12:07	29-04-2025 19:31	
49	LAN-MPLS-7	LAN-MPLS	universal	LAN	192.168.110.141/32;192.168.130.151/32	any	any	MPLS	172.29.19.102/32	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	0	-	-	-	-	06-05-2025 18:02	06-05-2025 17:27	
50	LAN-MPLS-8	LAN-MPLS	universal	LAN	10.11.150.1/32;10.11.240.1/32;172.29.100.12/32;172.29.100.13/32	any	any	MPLS	any	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	424	06-06-2026 12:41	07-05-2025 15:52	5	243	07-05-2025 15:50	07-05-2025 15:50	
51	[Disabled]  LAN-MPLS	[Disabled]  LAN-MPLS	[Disabled] universal	[Disabled]  LAN	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  MPLS	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  Allow	Profile Group: RDCC	Traffic log sent at session end	229	07-05-2025 14:16	17-04-2025 15:12	8	403	07-05-2025 16:00	08-04-2025 00:46	
52	MPLS-LAN-3	MPLS-LAN	universal	MPLS	10.110.110.161/32;192.168.0.0/24	any	any	LAN	10.11.150.0/27;DC_CPLAN_SUBNET	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	907	31-03-2026 11:04	02-05-2025 10:37	4	385	29-04-2025 18:40	29-04-2025 18:40	
53	MPLS-LAN-5	MPLS-LAN	universal	MPLS	172.29.19.101/32	any	any	LAN	192.168.110.141/32	any	ldap	any	Allow	Profile Group: RDCC	Traffic log sent at session end	10	21-08-2025 16:15	01-07-2025 19:49	0	-	14-09-2025 16:23	07-05-2025 15:47	
54	[Disabled]  WAN-LAN	[Disabled]  WAN-LAN	[Disabled] universal	[Disabled]  WAN	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  LAN	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  application-default	[Disabled]  Allow	none	Traffic log sent at session end	37	16-05-2025 20:04	16-05-2025 18:54	1	386	16-05-2025 21:29	08-04-2025 00:46	
55	[Disabled]  TEMP_POLICY	[Disabled] none	[Disabled] universal	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  Allow	none	Traffic log sent at session end	32383	16-05-2025 21:20	16-05-2025 18:40	22	386	16-05-2025 21:20	07-04-2025 19:19	
56	DC TO NDR CTS  ACCES	none	universal	MPLS	172.29.190.20/32	any	any	LAN	172.29.19.20/32	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	0	-	-	-	-	13-09-2025 12:09	13-09-2025 12:09	
57	DC to NDR CVM	MPLS-WAN	universal	MPLS	10.10.240.66/32	any	any	LAN	10.11.240.67/32	any	any	application-default	Allow	none	Traffic log sent at session end	0	-	-	-	-	29-11-2025 16:39	29-11-2025 16:39	
58	NDR TO AD ACCES	LAN-MPLS	universal	LAN	172.29.190.0/24;192.168.115.0/24	any	any	MPLS	192.168.11.0/24	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	0	-	-	-	-	17-03-2026 16:05	17-03-2026 16:05	
59	NACH DR DRILL	LAN-MPLS	universal	LAN	172.29.190.25/32	any	any	MPLS	10.101.7.72/32	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	17	17-03-2026 20:09	17-03-2026 20:07	1	81	17-03-2026 20:01	17-03-2026 20:01	
60	intrazone-default	none	intrazone	any	any	any	any	(intrazone)	any	any	any	any	Allow	none	none	2187460	06-06-2026 12:41	07-04-2025 19:11	-	-	08-04-2025 11:07	08-04-2025 11:07	
61	interzone-default	none	interzone	any	any	any	any	any	any	any	any	any	Deny	none	none	58272806	06-06-2026 12:42	16-04-2025 18:31	-	-	08-04-2025 11:10	08-04-2025 11:10	
